timestamp,contact_1,contact_2,contact_3,contact_4
1742312694.2525003,25,54,51,23
1742312694.2545245,18,46,58,17
1742312694.2564938,18,46,58,17
1742312694.2585511,17,42,61,16
1742312694.2605002,17,42,61,16
1742312694.262508,17,42,61,16
1742312694.2645056,17,42,61,16
1742312694.2665145,17,37,61,16
1742312694.268517,17,37,58,16
1742312694.2705178,17,37,58,16
1742312694.272509,17,37,61,16
1742312694.2744956,17,37,61,16
1742312694.2764845,17,37,61,16
1742312694.278478,17,38,60,16
1742312694.280534,17,38,60,16
1742312694.2825117,17,38,60,16
1742312694.2844791,17,40,60,16
1742312694.2866104,17,40,60,16
1742312694.2885358,17,41,60,16
1742312694.290478,17,41,60,16
1742312694.292477,17,41,60,16
1742312694.2944808,17,41,60,16
1742312694.2964962,17,41,58,16
1742312694.2985356,17,41,58,16
1742312694.300491,17,41,58,16
1742312694.302526,17,41,58,16
1742312694.304504,17,41,58,16
1742312694.3065538,17,41,58,16
1742312694.308524,17,42,58,16
1742312694.310486,17,42,58,16
1742312694.3124766,17,42,58,16
1742312694.3145041,17,43,57,16
1742312694.316485,17,43,57,16
1742312694.3185055,17,44,56,16
1742312694.3204892,17,44,56,16
1742312694.322486,17,44,56,16
1742312694.3244886,17,44,56,16
1742312694.3265104,17,45,54,16
1742312694.3284707,17,45,54,16
1742312694.3305206,17,45,54,16
1742312694.3324883,17,45,54,16
1742312694.3344786,17,45,53,16
1742312694.336546,17,45,53,16
1742312694.3384912,17,46,52,16
1742312694.3405018,17,46,52,16
1742312694.342498,17,46,52,16
1742312694.3444865,17,46,50,16
1742312694.3465242,17,46,50,16
1742312694.3484879,17,46,50,16
1742312694.3504648,17,46,48,16
1742312694.352482,17,46,48,16
1742312694.3544679,17,46,48,16
1742312694.356461,18,46,48,16
1742312694.3584998,18,46,48,16
1742312694.3604703,18,46,48,16
1742312694.362591,18,46,46,16
1742312694.3644753,18,46,46,16
1742312694.366476,18,46,46,16
1742312694.3684795,18,46,47,16
1742312694.37049,18,46,47,16
1742312694.3725073,18,46,47,16
1742312694.3745058,18,48,47,16
1742312694.3764718,18,48,47,16
1742312694.3785043,18,48,48,16
1742312694.380505,18,48,48,16
1742312694.3825052,18,48,48,16
1742312694.384481,18,48,48,16
1742312694.386489,18,48,48,16
1742312694.3884737,18,48,50,16
1742312694.3904684,18,48,50,16
1742312694.3924847,18,49,52,16
1742312694.3944907,18,49,52,16
1742312694.3964834,18,49,52,16
1742312694.3984945,18,51,52,16
1742312694.4004703,18,51,52,16
1742312694.4024892,18,51,52,16
1742312694.4045115,18,52,50,16
1742312694.406496,18,52,50,16
1742312694.408487,18,52,50,16
1742312694.4105122,18,52,50,16
1742312694.4254193,18,52,50,16
1742312694.4256105,18,52,50,16
1742312694.4257588,18,52,51,16
1742312694.4259558,18,52,51,16
1742312694.4261074,18,52,51,16
1742312694.42627,18,53,52,16
1742312694.4264116,18,53,52,16
1742312694.426487,18,53,52,16
1742312694.428474,18,56,52,16
1742312694.4305782,18,56,52,16
1742312694.4324841,18,56,52,16
1742312694.434491,18,55,52,16
1742312694.4364848,18,55,52,16
1742312694.438484,18,56,50,16
1742312694.4404967,18,56,50,16
1742312694.442486,18,56,50,16
1742312694.4444814,18,56,48,16
1742312694.4464784,18,56,48,16
1742312694.4484866,18,56,48,16
1742312694.4504702,18,56,46,16
1742312694.4525008,18,56,46,16
1742312694.4545429,18,56,46,16
1742312694.456485,18,50,46,16
1742312694.4585102,18,50,46,16
1742312694.4605067,18,50,46,16
1742312694.462505,18,50,46,20
1742312694.4644923,20,50,52,20
1742312694.466478,20,50,52,20
1742312694.4684725,54,50,54,47
1742312694.470588,54,50,54,47
1742312694.4725013,54,50,54,47
1742312694.4745007,54,49,52,62
1742312694.4764867,65,49,52,62
1742312694.4784951,65,49,52,62
1742312694.4806063,65,49,52,60
1742312694.482509,68,44,45,60
1742312694.4845016,68,44,45,60
1742312694.4865215,62,29,45,58
1742312694.488488,62,29,29,58
1742312694.4905088,62,29,29,58
1742312694.4925056,62,29,29,62
1742312694.4944983,55,20,19,62
1742312694.4964812,55,20,19,62
1742312694.49851,53,17,17,62
1742312694.5004787,53,17,17,62
1742312694.5024803,53,17,17,62
1742312694.5045128,53,17,17,57
1742312694.5065458,46,17,18,57
1742312694.5084808,46,17,18,57
1742312694.5104694,43,17,18,53
1742312694.5124722,43,17,17,53
1742312694.5144813,43,17,17,53
1742312694.5172617,45,17,17,50
1742312694.5184922,45,17,17,50
1742312694.5204737,45,17,17,50
1742312694.5225239,44,17,17,49
1742312694.5247884,44,17,17,49
1742312694.5266612,44,17,17,49
1742312694.5287898,43,17,17,48
1742312694.530584,43,17,17,48
1742312694.5325177,43,17,17,48
1742312694.5345058,43,17,17,46
1742312694.5365155,42,17,18,46
1742312694.5385044,42,17,18,46
1742312694.5405848,42,17,18,45
1742312694.542501,44,17,18,45
1742312694.5444763,44,17,18,45
1742312694.546476,47,17,18,46
1742312694.5487096,47,17,18,46
1742312694.550509,47,17,18,45
1742312694.5524771,47,17,18,45
1742312694.5544791,49,17,18,45
1742312694.556475,49,17,18,45
1742312694.5584779,51,17,18,44
1742312694.5604956,51,17,18,44
1742312694.5624957,51,17,18,44
1742312694.5644875,51,17,18,43
1742312694.566488,52,17,18,43
1742312694.568491,52,17,18,42
